stock_id,date,recommendation,final_score,pv_score,mt_score,dd_score,current_price,suggested_entry,reasons,return_5d,return_10d,return_20d,return_60d,return_120d,max_drawdown_20d
2882,2023-07-19,WAIT,0.2,0.0,1.0,0.0,44.5,43.7,breakout inactive; margin trend positive; no active Davis signal; EPS improving; valuation elevated (PE > 30),1.9101,3.8202,1.7978,1.6854,0.4494,-0.6742
2317,2023-07-20,AVOID,-0.14,0.0,-0.7,0.0,108.0,,breakout inactive; margin trend negative; no active Davis signal; EPS declining; valuation elevated (PE > 30),2.3148,2.7778,-1.8519,-2.3148,-6.9444,-2.3148
2882,2023-07-20,WAIT,0.2,0.0,1.0,0.0,44.75,43.72,breakout inactive; margin trend positive; no active Davis signal; EPS improving; valuation elevated (PE > 30),2.7933,3.4637,1.0056,1.8994,-0.3352,-1.2291
2317,2023-07-21,AVOID,-0.1,0.0,-0.5,0.0,107.5,,breakout inactive; margin trend negative; no active Davis signal; EPS declining; valuation elevated (PE > 30),1.8605,1.8605,-1.3953,-3.7209,-6.5116,-1.8605
2330,2023-07-21,AVOID,-0.1,0.0,-0.5,0.0,560.0,,breakout inactive; margin trend negative; no active Davis signal; EPS declining; valuation elevated (PE > 30),1.25,-0.3571,-4.1071,-2.5,4.2857,-4.1071
2412,2023-07-21,AVOID,-0.2,0.0,-1.0,0.0,115.5,,breakout inactive; margin trend negative; no active Davis signal; EPS improving; valuation elevated (PE > 30),0.8658,0.4329,1.2987,0.4329,3.8961,0.0
2454,2023-07-21,AVOID,-0.2,0.0,-1.0,0.0,682.0,,breakout inactive; margin trend negative; no active Davis signal; EPS declining; valuation elevated (PE > 30),-3.5191,3.5191,-1.9062,21.7009,35.7771,-3.9589
2882,2023-07-21,WAIT,0.2,0.0,1.0,0.0,44.4,43.72,breakout inactive; margin trend positive; no active Davis signal; EPS improving; valuation elevated (PE > 30),3.0405,4.6171,2.2523,1.5766,0.2252,-0.4505
2330,2023-07-24,AVOID,-0.2,0.0,-1.0,0.0,558.0,,breakout inactive; margin trend negative; no active Davis signal; EPS declining; valuation elevated (PE > 30),1.2545,-1.0753,-3.0466,-0.3584,5.0179,-3.7634
2412,2023-07-24,AVOID,-0.2,0.0,-1.0,0.0,116.0,,breakout inactive; margin trend negative; no active Davis signal; EPS improving; valuation elevated (PE > 30),0.0,0.431,0.431,-0.431,3.8793,0.0
2454,2023-07-24,AVOID,-0.1,0.0,-0.5,0.0,675.0,,breakout inactive; margin trend negative; no active Davis signal; EPS declining; valuation elevated (PE > 30),2.2222,2.2222,-0.4444,22.6667,36.5926,-2.963
2882,2023-07-24,WAIT,0.14,0.0,0.7,0.0,44.2,43.73,breakout inactive; margin trend positive; no active Davis signal; EPS improving; valuation elevated (PE > 30),3.5068,6.448,1.81,1.1312,0.5656,0.0
2317,2023-07-25,WAIT,0.1,0.0,0.5,0.0,112.0,109.28,breakout inactive; margin trend positive; no active Davis signal; EPS declining; valuation elevated (PE > 30),-1.3393,-1.3393,-4.9107,-10.2679,-10.7143,-5.8036
2330,2023-07-25,AVOID,-0.1,0.0,-0.5,0.0,569.0,,breakout inactive; margin trend negative; no active Davis signal; EPS declining; valuation elevated (PE > 30),-0.3515,-2.6362,-2.9877,-4.3937,1.9332,-5.6239
2412,2023-07-25,WAIT,0.2,0.0,1.0,0.0,116.5,115.8,breakout inactive; margin trend positive; no active Davis signal; EPS improving; valuation elevated (PE > 30),0.0,0.4292,0.0,-0.8584,2.1459,-0.4292
2454,2023-07-25,AVOID,-0.2,0.0,-1.0,0.0,665.0,,breakout inactive; margin trend negative; no active Davis signal; EPS declining; valuation elevated (PE > 30),7.218,5.4135,0.9023,23.4586,34.5865,-1.5038
2882,2023-07-25,AVOID,-0.1,0.0,-0.5,0.0,44.55,,breakout inactive; margin trend negative; no active Davis signal; EPS improving; valuation elevated (PE > 30),6.0606,4.2649,0.3367,-1.0101,-1.2346,0.0
